,DATE,ORIGIN_STATE_NM,DEST_STATE_NM,PASSENGERS,FREIGHT,MAIL,DISTANCE,SLIDER_KEYS
335,2019-01,Idaho,Colorado,23527,3428.0,0,3504,0
336,2019-01,Idaho,Florida,53,0.0,0,4546,0
337,2019-01,Idaho,Georgia,82,0.0,0,3676,0
338,2019-01,Idaho,Idaho,81,21.0,0,502,0
339,2019-01,Idaho,Illinois,4082,0.0,0,5663,0
340,2019-01,Idaho,Indiana,1,155.0,0,1563,0
341,2019-01,Idaho,Louisiana,7,0.0,0,1706,0
342,2019-01,Idaho,Minnesota,4213,857.0,0,2284,0
343,2019-01,Idaho,Missouri,27,0.0,0,2535,0
344,2019-01,Idaho,Nevada,10410,854.0,0,2246,0
345,2019-01,Idaho,New Jersey,4,0.0,0,2147,0
346,2019-01,Idaho,New Mexico,17,0.0,0,781,0
347,2019-01,Idaho,Ohio,61,0.0,0,3478,0
348,2019-01,Idaho,Oklahoma,10,0.0,0,1140,0
349,2019-01,Idaho,Oregon,11646,4730.0,0,1032,0
350,2019-01,Idaho,Pennsylvania,1,0.0,0,2113,0
351,2019-01,Idaho,Tennessee,15,0.0,0,3159,0
352,2019-01,Idaho,Texas,7127,908.0,0,10533,0
353,2019-01,Idaho,Utah,34978,1792.0,0,2066,0
354,2019-01,Idaho,Washington,34583,10089.0,3052,2246,0
355,2019-01,Idaho,Wisconsin,3,0.0,0,1423,0
356,2019-01,Illinois,Alabama,10168,4548.0,0,6108,0
357,2019-01,Illinois,Alaska,1719,400.0,1,5692,0
358,2019-01,Illinois,Arizona,116186,118025.0,377272,16763,0
359,2019-01,Illinois,Arkansas,12053,134.0,0,5914,0
360,2019-01,Illinois,California,309525,814453.0,1446375,50945,0
361,2019-01,Illinois,Colorado,112647,146325.0,167083,17902,0
362,2019-01,Illinois,Connecticut,19529,29439.0,22435,4692,0
363,2019-01,Illinois,Florida,351466,353439.0,508258,65439,0
364,2019-01,Illinois,Georgia,100583,49344.0,110488,13357,0
365,2019-01,Illinois,Hawaii,14533,54797.0,115154,12670,0
366,2019-01,Illinois,Idaho,3636,0.0,0,5663,0
367,2019-01,Illinois,Illinois,38770,1197.0,0,4018,0
368,2019-01,Illinois,Indiana,37979,9645.0,485,2699,0
369,2019-01,Illinois,Iowa,30538,5684.0,0,4970,0
370,2019-01,Illinois,Kansas,8635,60.0,0,5225,0
371,2019-01,Illinois,Kentucky,49709,28402.0,0,6628,0
372,2019-01,Illinois,Louisiana,28043,3862.0,6310,4169,0
373,2019-01,Illinois,Maine,2521,0.0,0,3600,0
374,2019-01,Illinois,Maryland,41084,60949.0,15398,3095,0
375,2019-01,Illinois,Massachusetts,57756,44504.0,75138,3462,0
376,2019-01,Illinois,Michigan,93419,56469.0,15726,8248,0
377,2019-01,Illinois,Minnesota,82774,74101.0,134575,6267,0
378,2019-01,Illinois,Mississippi,2144,0.0,0,3427,0
379,2019-01,Illinois,Missouri,78058,43409.0,6014,9326,0
380,2019-01,Illinois,Montana,6662,143.0,0,5076,0
381,2019-01,Illinois,Nebraska,27465,19010.0,6409,4733,0
382,2019-01,Illinois,Nevada,87791,153684.0,109279,14901,0
383,2019-01,Illinois,New Hampshire,4821,3733.0,0,838,0
384,2019-01,Illinois,New Jersey,54654,580866.0,180695,4306,0
385,2019-01,Illinois,New Mexico,8993,1848.0,0,7829,0
386,2019-01,Illinois,New York,181734,69747.0,8987,27893,0
387,2019-01,Illinois,North Carolina,76272,54098.0,26202,13999,0
388,2019-01,Illinois,North Dakota,7284,312.0,0,4933,0
389,2019-01,Illinois,Ohio,82513,110939.0,9855,7940,0
390,2019-01,Illinois,Oklahoma,15323,1427.0,0,6280,0
391,2019-01,Illinois,Oregon,23368,19159.0,150546,6968,0
392,2019-01,Illinois,Pennsylvania,91829,138271.0,84885,15595,0
393,2019-01,Illinois,Puerto Rico,11123,40243.0,35077,8273,0
394,2019-01,Illinois,Rhode Island,9268,3102.0,0,4238,0
395,2019-01,Illinois,South Carolina,17641,1757.0,0,8279,0
396,2019-01,Illinois,South Dakota,6528,0.0,0,3558,0
397,2019-01,Illinois,Tennessee,53807,31003.0,6410,11059,0
398,2019-01,Illinois,Texas,228939,967785.0,514654,36677,0
399,2019-01,Illinois,U.S. Virgin Islands,453,0.0,0,2115,0
400,2019-01,Illinois,Utah,31065,54797.0,50863,7509,0
401,2019-01,Illinois,Vermont,4073,120.0,0,3052,0
402,2019-01,Illinois,Virginia,93090,40963.0,10512,15593,0
